timestamp;K1;K2;TC1;TC2;TC3;TC4;TC5;RES1;RES2;RES3;RES4;RES5;RES6;RES7;FRG1
1735186274.30000;295.41608;296.07925;291.28910;218.98141;226.24635;246.35053;220.24338;7.39860;7.33731;7.33380;7.48326;7.55372;7.49660;7.44260;-5.92490
1735186304.30000;295.41944;296.07998;291.27136;219.02316;226.25928;246.33920;220.23990;7.39873;7.33747;7.33384;7.48294;7.55352;7.49674;7.44269;-5.92506
1735186421.16667;295.39804;296.08389;291.24757;219.01578;226.29260;246.34463;220.24666;7.39838;7.33681;7.33302;7.48221;7.55337;7.49626;7.44272;-5.92531
1735186454.30000;295.39173;296.08096;291.25157;218.99722;226.28675;246.35656;220.24816;7.39778;7.33630;7.33253;7.48199;7.55271;7.49528;7.44151;-5.92534
1735186484.30000;295.38404;296.08121;291.25805;219.02546;226.26804;246.34650;220.28942;7.39764;7.33650;7.33298;7.48217;7.55274;7.49547;7.44231;-5.92523
1735186514.30000;295.38110;296.07803;291.25227;219.04134;226.28579;246.34018;220.29016;7.39801;7.33698;7.33310;7.48213;7.55279;7.49570;7.44262;-5.92515
1735186544.30000;295.38201;296.07486;291.23852;219.02646;226.32328;246.35957;220.26552;7.39809;7.33682;7.33296;7.48185;7.55311;7.49559;7.44247;-5.92499
1735186574.30000;295.38568;296.07315;291.26743;219.04984;226.28613;246.35061;220.31603;7.39791;7.33670;7.33301;7.48227;7.55285;7.49545;7.44267;-5.92511
1735186604.30000;295.39068;296.07120;291.24657;219.07867;226.31304;246.34848;220.30228;7.39807;7.33670;7.33278;7.48168;7.55231;7.49537;7.44276;-5.92512
1735186634.30000;295.40104;296.06974;291.26013;219.09337;226.33373;246.35814;220.31873;7.39676;7.33554;7.33210;7.48139;7.55248;7.49570;7.44288;-5.92499
1735186664.30000;295.39547;296.06707;291.25142;219.11006;226.33794;246.36364;220.31934;7.39733;7.33570;7.33081;7.47923;7.55012;7.49356;7.44179;-5.92513
1735186694.30000;295.39628;296.06439;291.25606;219.11147;226.34595;246.36741;220.32948;7.39803;7.33686;7.33291;7.48190;7.55240;7.49511;7.44220;-5.92536
1735186724.30000;295.39333;296.06561;291.22640;219.09005;226.36903;246.37084;220.31518;7.39788;7.33640;7.33249;7.48129;7.55252;7.49526;7.44277;-5.92524
1735186754.30000;295.38681;296.06463;291.22968;219.09316;226.37550;246.37738;220.31408;7.39758;7.33562;7.33195;7.48027;7.55216;7.49477;7.44298;-5.92529
1735186784.30000;295.38598;296.06464;291.25994;219.09122;226.35726;246.39642;220.35685;7.39754;7.33612;7.33245;7.48182;7.55260;7.49461;7.44223;-5.92520
1735186814.30000;295.38262;296.06439;291.26815;219.11126;226.34197;246.38605;220.39411;7.39701;7.33585;7.33219;7.48134;7.55168;7.49429;7.44278;-5.92521
1735186844.30000;295.37945;296.06464;291.25374;219.13241;226.36829;246.38396;220.39646;7.39723;7.33614;7.33225;7.48133;7.55180;7.49466;7.44300;-5.92518
1735186874.30000;295.37504;296.06439;291.23603;219.11875;226.40108;246.40110;220.36575;7.39756;7.33595;7.33196;7.48098;7.55188;7.49450;7.44274;-5.92521
1735186904.30000;295.37444;296.06609;291.23865;219.11241;226.39943;246.40357;220.37705;7.39706;7.33562;7.33180;7.48140;7.55201;7.49422;7.44235;-5.92542
1735186934.30000;295.37608;296.06512;291.24978;219.12374;226.40103;246.41456;220.39558;7.39749;7.33585;7.33201;7.48134;7.55199;7.49441;7.44290;-5.92528
1735186964.35000;295.36715;296.06609;291.23849;219.13988;226.40855;246.41364;220.38332;7.39659;7.33516;7.33054;7.48051;7.55144;7.49425;7.44295;-5.92507
1735186994.40000;295.36253;296.06707;291.24024;219.15540;226.42858;246.41301;220.38970;7.39732;7.33570;7.33173;7.48083;7.55155;7.49384;7.44299;-5.92501
1735187024.40000;295.36388;296.06585;291.23881;219.15802;226.43669;246.41981;220.39917;7.39676;7.33536;7.33107;7.48023;7.55119;7.49354;7.44266;-5.92518
1735187054.40000;295.36986;296.06488;291.24814;219.17491;226.45198;246.42757;220.41708;7.39721;7.33574;7.33164;7.48055;7.55162;7.49403;7.44310;-5.92521
1735187084.40000;295.37312;296.06366;291.24630;219.18724;226.46356;246.43604;220.42973;7.39672;7.33494;7.33089;7.48002;7.55085;7.49337;7.44256;-5.92527
1735187114.40000;295.37884;296.06318;291.28184;219.21332;226.43152;246.43548;220.48268;7.39672;7.33530;7.33168;7.48076;7.55125;7.49332;7.44326;-5.92521
1735187144.40000;295.38672;296.06099;291.27238;219.26213;226.46889;246.44604;220.49427;7.39629;7.33499;7.33113;7.47991;7.55027;7.49319;7.44306;-5.92522
1735187174.40000;295.38552;296.05904;291.25617;219.23345;226.49362;246.45742;220.47331;7.39676;7.33520;7.33111;7.48003;7.55102;7.49329;7.44313;-5.92521
1735187204.40000;295.39031;296.05758;291.28559;219.24578;226.47687;246.46946;220.51702;7.39652;7.33485;7.33127;7.48036;7.55074;7.49304;7.44297;-5.92524
1735187234.40000;295.39096;296.05636;291.28882;219.25385;226.48011;246.47296;220.53003;7.39644;7.33507;7.33139;7.48053;7.55094;7.49309;7.44331;-5.92509
1735187264.40000;295.38877;296.05758;291.27242;219.23958;226.49771;246.47605;220.52740;7.39612;7.33470;7.33094;7.47956;7.55026;7.49286;7.44296;-5.92507
1735187294.40000;295.38758;296.05782;291.27184;219.25327;226.50866;246.48065;220.52677;7.39617;7.33464;7.33079;7.48001;7.55066;7.49263;7.44313;-5.92519
1735187324.40000;295.38240;296.06269;291.26945;219.26431;226.50419;246.47638;220.53728;7.39593;7.33441;7.33081;7.47972;7.55044;7.49237;7.44292;-5.92515
1735187354.40000;295.38856;296.06220;291.27961;219.30619;226.50531;246.47547;220.56549;7.39544;7.33420;7.33044;7.47928;7.54976;7.49194;7.44274;-5.92545
1735187384.40000;295.39401;296.06026;291.26192;219.32423;226.53522;246.47321;220.55367;7.39487;7.33371;7.32981;7.47837;7.54912;7.49168;7.44227;-5.92552
1735187414.40000;295.39797;296.05831;291.26106;219.31667;226.57238;246.49185;220.52905;7.39632;7.33453;7.33046;7.47915;7.55031;7.49238;7.44244;-5.92551
1735187444.40000;295.38786;296.06123;291.25873;219.31069;226.55663;246.48832;220.53258;7.39584;7.33409;7.32989;7.47897;7.54999;7.49199;7.44292;-5.92518
1735187474.40000;295.37704;296.06342;291.26651;219.30290;226.53561;246.49300;220.57563;7.39579;7.33432;7.33046;7.47952;7.55007;7.49220;7.44319;-5.92529
